id,college_name,survey_year,name,hostel_type,intake_capacity,students_residing
41656,"Dr. D.Y. Patil Educational Academy's Dr. D.Y. Patil College of Engineering,Ambi, Talegaon, Pune",2015,D Y PATIL EDUCATION ACADEMY'S GIRL'S HOSTEL,Girls Hostel,120,120
41890,"Gajanan Maharaj Shikshan Prasarak Mandals Sharadchandra Pawar College of Pharmacy,Pune",2015,GAJANAN HOSTEL,Boys Hostel,30,30
165,Sigma Institute of Engineering (SFI) -Barrrol-Ta:Waghodiya Di:Vadodara. 775,2015,SIGMA BOYS HOSTEL,Boys Hostel,100,0
7051,Union Christian Training College,2015,UCTC,Boys Hostel,50,25
6112,Parul Arogya Seva Mandal Physiotherapy College,2015,Santi Sadan Hostel block A,Boys Hostel,392,12
6112,Parul Arogya Seva Mandal Physiotherapy College,2015,shanti sadan hostel BLOCK C,Boys Hostel,486,35
6112,Parul Arogya Seva Mandal Physiotherapy College,2015,International Hostel,Girls Hostel,150,4
10296,Rayat Group of Institutions,2015,Girls Hostel,Girls Hostel,1000,126
47359,"SAI NATH COLLEGE OF NURSING, KATNI",2015,"Sainath School/College Hostel, Housing Board,Katni",Girls Hostel,160,35
92,"BABARIA INSTITUTE OF PHARMACY,VARNAMA 213",2015,RUDRAKSH ACADEMY PRIVATE LIMITED,Boys Hostel,60,15
747,"KABARIYA ARTS, VAGHASIYA COMMERCE & BHAGAT SCIENCE MAHILA COLLEGE-AMRELI",2015,Smt. Fulbaiben Jerambhai Vekariya Kanya Chhatralaya,Girls Hostel,320,0
747,"KABARIYA ARTS, VAGHASIYA COMMERCE & BHAGAT SCIENCE MAHILA COLLEGE-AMRELI",2015,Shree Lavjibhai Dungarshibhai Daliya Kanya Chhatralaya - 9,Girls Hostel,380,0
747,"KABARIYA ARTS, VAGHASIYA COMMERCE & BHAGAT SCIENCE MAHILA COLLEGE-AMRELI",2015,Smt. Kashiben Nagjibhai Kathiriya Kanya Chhatralaya,Girls Hostel,320,16
747,"KABARIYA ARTS, VAGHASIYA COMMERCE & BHAGAT SCIENCE MAHILA COLLEGE-AMRELI",2015,Smt. Amrutben Mithabhai Thummar Kanya Chhatralay,Girls Hostel,352,0
851,SHRI LEUVA PATEL B.B.A. MAHILA COLLEGE-AMRELI,2015,Smt. Javalben Thakarshibhai Ramani Kanya Chhatralay,Girls Hostel,380,0
851,SHRI LEUVA PATEL B.B.A. MAHILA COLLEGE-AMRELI,2015,Shri Jerambhai P. Kasodariya Kanya Chhatralaya,Girls Hostel,412,0
851,SHRI LEUVA PATEL B.B.A. MAHILA COLLEGE-AMRELI,2015,Smt. Kuvarben Parbatbhai Davariya Kanya Chhatralay,Girls Hostel,352,0
21920,"Nansi Institute of Management, Jyolikot",2015,Girls hostel No3,Girls Hostel,200,140
21920,"Nansi Institute of Management, Jyolikot",2015,Girls hostel No 2,Girls Hostel,200,150
997,SHREE K.P. DHOLAKIYA INFOTECH MAHILA COLLEGE-AMRELI,2015,Smt. Lavjibhai Dungarshibhai Daliya Kanya Chhtralay,Girls Hostel,380,0
997,SHREE K.P. DHOLAKIYA INFOTECH MAHILA COLLEGE-AMRELI,2015,Smt. Fulbaiben Jerambhai Vekariya Kanya Chhatralay,Girls Hostel,320,0
997,SHREE K.P. DHOLAKIYA INFOTECH MAHILA COLLEGE-AMRELI,2015,Smt. Savitaben S. Zaveri PHC Hostel,Girls Hostel,50,0
997,SHREE K.P. DHOLAKIYA INFOTECH MAHILA COLLEGE-AMRELI,2015,Smt. Amrutben Mithabhai Thummar Kanya Chhatralay,Girls Hostel,352,0
13973,"Sadhu Vaswani College of Nursing (B.Sc.), Pune",2015,SVCON Hostel,Girls Hostel,200,130
18595,"Samarth College, Lakhni",2015,Bhagini Nivedita Women Hostel,Girls Hostel,120,0
40196,Nidhi College of Nursing,2015,Nidhi Hostel,Girls Hostel,100,0
7169,Adarsh B.C.A. College,2015,Adarsh Girls Hostel,Girls Hostel,100,0
27463,"Rams Degree College, Bhadrachalam (Sampurna, Erragunta)",2015,RANI RUDRAMA DEVI HOSTEL,Girls Hostel,200,180
41308,"Shri Jain Vidya Prasarak Mandals College Iof Education, Chinchwad, Pune 33",2015,"Pannalal Lunkaran Lunkadh Hostel,Chinchwad",Boys Hostel,50,0
